Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
24002,2231,449,80,20,9999,0,1021,0,3935,4017,4,3,1478,490,2000,0,0,72,72,31,0,0,0,0,0,1435,1584,7202,1247,0,19,39,30,36,23,19,10,0,0,61,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
25002,2231,449,80,20,9999,0,990,0,3935,3895,4,3,1478,490,2000,0,0,72,72,31,0,0,0,0,0,1435,1584,7074,1247,0,19,39,30,36,23,19,10,0,0,61,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
26002,2231,449,80,21,9999,0,1280,0,3937,5039,4,3,1478,490,1353,0,0,72,72,31,0,0,0,0,0,1435,1584,7138,1249,0,68,39,34,38,43,68,14,28,10,9,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
27002,2231,449,80,21,9999,0,1291,0,3903,5038,4,3,1478,490,1555,0,0,18,72,31,0,0,72,0,0,1435,1584,16770,1443,0,33,43,34,39,28,10,23,33,5,98,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
28002,2231,449,80,21,9999,0,1267,0,3903,4945,4,3,1478,490,1555,0,0,51,72,49,1,10,36,0,0,1435,1584,15411,1425,0,33,39,42,30,33,33,28,33,10,96,0,0,11314,526,0,396,46,442,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
29003,2231,449,80,21,9999,0,1274,0,3903,4972,4,3,1478,490,1555,0,0,54,72,46,0,0,23,0,0,1435,1584,14774,1436,0,40,58,54,28,69,26,40,34,5,98,0,0,11314,526,0,396,46,442,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
30002,2231,449,80,21,9999,0,1281,0,3903,4999,4,3,1478,490,1555,0,0,58,72,46,0,4,20,0,0,1435,1584,15315,1425,0,50,41,51,19,33,13,50,21,13,95,0,0,11314,526,0,396,46,442,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
31002,2231,449,80,21,9999,0,1278,0,3903,4988,4,3,1478,490,1555,0,0,55,72,46,0,2,22,0,0,1435,1584,15153,1433,0,27,22,23,46,26,27,22,16,5,98,0,0,11314,526,0,396,46,442,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
32002,2231,449,80,21,9999,0,1315,0,3903,5132,4,3,1478,490,1555,0,0,55,72,46,0,1,19,0,0,1435,1584,16149,1439,0,36,31,27,33,27,10,25,36,0,98,0,0,11314,526,0,396,46,442,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
33003,2231,449,80,21,9999,0,1291,0,3903,5038,4,3,1478,490,1555,0,0,54,72,46,0,3,23,0,0,1435,1584,17201,1435,0,28,17,16,33,28,28,19,28,14,98,0,0,11314,526,0,396,46,442,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
34003,2231,449,80,21,9999,0,1354,0,3903,5284,4,3,1478,490,1353,0,0,55,72,46,0,6,24,0,0,1435,1584,16212,1443,0,30,37,30,30,25,30,14,30,14,98,0,0,11314,526,0,396,46,442,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
35003,2231,449,80,21,9999,0,1266,0,3891,4926,4,3,1478,490,1353,0,0,55,72,46,0,2,19,0,0,1435,1584,16580,1437,0,34,39,30,11,44,34,25,31,21,97,0,0,11314,526,0,396,46,442,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
36003,2231,449,80,21,9999,0,1280,0,3900,4992,4,3,1478,490,1353,0,0,55,72,46,0,3,21,0,0,1435,1584,16071,1439,0,30,41,30,25,21,27,19,30,5,99,0,0,11314,526,0,396,46,442,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
37003,2231,449,80,21,9999,0,1334,0,3900,5202,4,3,1478,490,1555,0,0,55,72,46,0,2,18,0,0,1435,1584,15691,1449,0,37,31,33,27,26,10,28,37,13,98,0,0,11314,526,0,396,46,442,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
